Topic,Probability,Frex,Lift,Score
1,"environment, road, citi, car, area, counti, vehicl","airport, amtrak, rail, heathrow, traffic, freight, nois","acrid, agencieswhich, aip, aircrew, alfredo, ameridan, antilock","road, rail, counti, car, heathrow, airport, vehicl"
2,"environ, rural, agenc, food, respons, offic, understand","agenc, rural, defenc, offic, prosecut, law, incid","foxhunt, ind, ipsa, marchconclus, marchpriv, outofhour, rowen","rural, agenc, offic, protect, defenc, legisl, week"
3,"hear, energi, natur, inform, purpos, build, pleas","sd, pm, abigail, otool, calabro, seyferth, weinstock","abigail, adamson, adentro, adin, adt, ahear, ahern","hear, inform, sd, schedul, author, pm, subcommitte"
4,"clean, air, epa, pollut, environment, health, nuclear","yucca, superfund, epa, mercuri, mtbe, ash, cleanup","abt, actprovid, aesop, alir, alr, andhigh, avarici","epa, air, health, clean, pollut, nuclear, mercuri"
5,"chang, countri, climat, global, european, unit, world","presid, leadership, agreement, american, confer, adapt, countri","angloirish, celsa, centreright, cma, doommong, everclos, immunis","chang, countri, unit, agreement, labour, tax, secur"
6,"job, economi, famili, pipelin, america, manufactur, econom","keyston, xl, pipelin, tar, job, unemploy, obama","acrosstheaisl, actionon, agendaan, agoon, ajob, alw, amdrican","job, pipelin, keyston, xl, manufactur, economi, percent"
7,"trade, global, world, intern, us, nation, china","nafta, wto, iran, israel, iranian, terror, iraq","antiballist, grenada, manmohan, statesaustralia, usjapan, usperu, ussingapor","trade, us, nation, china, treati, global, world"
8,"peopl, want, get, know, us, talk, make","dont, didnt, mayb, said, your, czar, guess","alland, antisept, awayfrom, basisi, batista, beeper, billson","peopl, want, know, said, us, make, way"
9,"land, forest, nation, agricultur, area, conserv, farm","refug, timber, acr, snowmobil, forestri, carib, wilder","ack, actuallyi, adelgid, airstrip, alce, ambl, anthem","forest, land, nation, wildlif, refug, acr, park"
10,"water, ocean, lake, river, project, coast, florida","chesapeak, beach, lake, estuari, florida, marin, coast","lamprey, nmf, plaquemin, sso, vaquero, acl, acrefeet","water, ocean, lake, florida, river, corp, fish"
11,"energi, fuel, renew, price, technolog, electr, new","ethanol, hydrogen, plugin, gasolin, geotherm, cafe, applianc","stover, aboit, actionto, againin, agreementon, alcorn, algaebas","energi, fuel, percent, need, new, nation, renew"
12,"program, fund, research, provid, million, nation, develop","program, nist, research, fund, fiscal, nanotechnolog, loan","abilityto, ainend, alliesth, amendr, amercorp, anaddit, andcertainli","program, provid, nation, fund, depart, research, new"
13,"school, work, nation, children, commun, student, famili","student, elementari, school, breast, inspir, medal, celebr","abolitionist, abstinencebas, abzug, addl, adieu, adjoum, adler","school, children, work, nation, student, commun, recogn"
14,"energi, industri, carbon, per, cent, emiss, renew","ga, tariff, ofgem, feedin, tonn, oil, cost","ainsti, apt, arrangementsth, backend, basisand, basisit, bassam","cost, reduc, ga, energi, tax, reduct, save"
15,"green, plan, paper, area, develop, transport, consult","woodford, chingford, paper, pension, educ, belt, petit","accounta, adur, afrocaribbean, afternoonand, alldanc, allerton, allsing","paper, transport, pension, publish, educ, green, opportun"
16,"climat, global, carbon, warm, emiss, greenhous, scienc","ipcc, melt, temperatur, ice, greenland, scientist, planet","abofit, accurateand, actuallyand, admihistr, aet, againw, agat","climat, carbon, emiss, greenhous, scientist, global, warm"
17,"issu, work, import, energi, concern, also, move","issu, bipartisan, languag, discuss, concern, agre, minor","actthey, agreementit, aloneth, amendmeit, amendmentnot, amendmentor, amendmentsth","issu, work, import, concern, also, want, believ"
18,"compani, environment, taxpay, allow, oppos, industri, consum","taxpay, corpor, profit, nepa, ferc, fee, miner","accountabilityand, antiimmigr, bandit, barnstabl, bvd, carnivor, chilton","compani, hr, provis, taxpay, polici, leas, interest"
